Lincoln,          2008,          White,          Full-Size,          Rented due back in One Day
Buick,          2010,          Blue,          Full-Size,          Available
Ford,          2003,          Green,          Mid-Size,          Rented due back in One Day
Chevrolet,          2011,          Blue,          Full-Size,          Rented due back in Two Days
Pontiac,          1998,          Gray,          Full-Size,          Available
Dodge,          2010,          Yellow,          Mid-Size,          Available
Dodge,          2011,          Red,          Compact,          Rented due back in More Than Three Days
Lincoln,          2001,          Blue,          Full-Size,          Rented due back in More Than Three Days
Cadillac,          2004,          Green,          Compact,          Rented due back in Three Days
Lincoln,          1999,          Green,          Mid-Size,          Rented due back in One Day
Jeep,          2007,          Yellow,          Mid-Size,          Available
Chevrolet,          2001,          White,          Compact,          Rented due back in Two Days
Cadillac,          1998,          Gray,          Mid-Size,          Available
Jeep,          2001,          Red,          Compact,          Rented due back in Less Than One Day
Cadillac,          2009,          Gray,          Full-Size,          Available
Lincoln,          2000,          Yellow,          Full-Size,          Available
Lincoln,          2000,          Green,          Mid-Size,          Rented due back in More Than Three Days
Ram,          2007,          Green,          Compact,          Rented due back in More Than Three Days
Buick,          2006,          Yellow,          Full-Size,          Available
Pontiac,          2007,          Blue,          Mid-Size,          Available
Dodge,          2007,          Blue,          Mid-Size,          Available
Ram,          1999,          Green,          Full-Size,          Available
Cadillac,          2000,          White,          Compact,          Available
Ford,          2003,          White,          Compact,          Available
Lincoln,          2004,          Gray,          Mid-Size,          Available
Chevrolet,          2006,          Blue,          Full-Size,          Available
Ram,          1998,          Gray,          Mid-Size,          Rented due back in Less Than One Day
Ford,          2006,          Red,          Mid-Size,          Available
Ford,          2000,          Yellow,          Mid-Size,          Available
Chevrolet,          2011,          Gray,          Full-Size,          Rented due back in More Than Three Days
Jeep,          2009,          Blue,          Mid-Size,          Available
Cadillac,          1999,          Green,          Full-Size,          Rented due back in More Than Three Days
Ford,          2006,          Blue,          Full-Size,          Rented due back in More Than Three Days
